telepules;megye
Andrástanya (Edelény);Borsod-Abaúj-Zemplén
Angyalföld (Budapest);Budapest
Annabánya (Miskolc);Borsod-Abaúj-Zemplén
Annavölgyibánya;Komárom-Esztergom
Antalbokor (Nyíregyháza);Szabolcs-Szatmár-Bereg
Antalfalu;Baranya
Antalhegy (Gödöllő);Pest
Antalmajor;Somogy
Antalszállás;Baranya
Apácatorna;Veszprém
Apagy;Szabolcs-Szatmár-Bereg
Apaj;Pest
Aparhant;Tolna
Apátfa (Zalaegerszeg);Zala
Apátfalva;Csongrád
Apátipuszta;Nógrád
Apátipuszta;Tolna
Apátistvánfalva;Vas
Apátszállás (Baracs);Fejér
Apátvarasd;Baranya
Apc;Heves
Áporka;Pest
Apostag;Bács-Kiskun
Apróhomok;Borsod-Abaúj-Zemplén
Arács (Balatonfüred);Veszprém
Aradványpuszta (Nyíradony);Hajdú-Bihar
Arak;Győr-Moson-Sopron
Aranyegyháza;Bács-Kiskun
Aranyhegy;Bács-Kiskun
Aranyhegy (Budapest);Budapest
Aranyhegy (Pécs);Baranya
Aranykalász sor;Szabolcs-Szatmár-Bereg
Aranyod (Zalaszentgrót);Zala
Aranyosapáti;Szabolcs-Szatmár-Bereg
Aranyosgadány;Baranya
Aranyospuszta;Borsod-Abaúj-Zemplén
Ardics (Makó);Csongrád
Arka;Borsod-Abaúj-Zemplén
Árkus;Hajdú-Bihar
Arló;Borsod-Abaúj-Zemplén
Arnót;Borsod-Abaúj-Zemplén
Árokospuszta;Békés
Ároktő;Borsod-Abaúj-Zemplén
Árpádföld (Budapest);Budapest
Árpádhalom;Csongrád
Árpádszállás (Lakitelek);Bács-Kiskun
Árpádtelep (Tiszaalpár);Bács-Kiskun
Árpádtelep (Végegyháza);Békés
Árpádtető;Baranya
Árpás;Győr-Moson-Sopron
Ártánd;Hajdú-Bihar
Ásotthalom;Csongrád
Ásványráró;Győr-Moson-Sopron
Aszaló;Borsod-Abaúj-Zemplén
Ászár;Komárom-Esztergom
Asszonyrész;Hajdú-Bihar
Asszonyvár (Belezna);Zala
Aszód;Pest
Aszód Újtelep;Pest
Aszófő;Veszprém
Áta;Baranya
Átány;Heves
Atkár;Heves
Átó;Zala
Attala;Tolna
Attilatelep (Egyek);Hajdú-Bihar
Babarc;Baranya
Babarcszőlős;Baranya
Babócsa;Somogy
Bábolna;Komárom-Esztergom
Bábonymegyer;Somogy
Babosdöbréte;Zala
Babót;Győr-Moson-Sopron
Bácsalmás;Bács-Kiskun
Bácsbokod;Bács-Kiskun
Bácsborista;Bács-Kiskun
Bácsborsód;Bács-Kiskun
Bácsszentgyörgy;Bács-Kiskun
Bácsszőlős;Bács-Kiskun
Badacsony;Veszprém
Badacsonyörs;Veszprém
Badacsonytomaj;Veszprém
Badacsonytördemic;Veszprém
Bag;Pest
Bagamér;Hajdú-Bihar
Baglad;Zala
Baglyas;Somogy
Baglyasalja (Salgótarján);Nógrád
Baglyasrakodó (Salgótarján);Nógrád
Bagod;Zala
Bagodvitenyéd (Bagod);Zala
Bagola (Nagykanizsa);Zala
Bagolyirtás;Heves
Bagota (Görbeháza);Hajdú-Bihar
Bágyogszovát;Győr-Moson-Sopron
Baj;Komárom-Esztergom
Baja;Bács-Kiskun
Bajánsenye;Vas
Bajcsa (Nagykanizsa);Zala
Bájibokor;Szabolcs-Szatmár-Bereg
Bajna;Komárom-Esztergom
Bajorhegy;Szabolcs-Szatmár-Bereg
Bajót;Komárom-Esztergom
Bak;Zala
Bakháza;Somogy
Bakóca;Baranya
Bakonszeg;Hajdú-Bihar
Bakony Művek-lakótp. (Ajka);Veszprém
Bakonya;Baranya
Bakonybánk;Komárom-Esztergom
Bakonybél;Veszprém
Bakonycsernye;Fejér
Bakonygyepes;Veszprém
Bakonygyirót;Veszprém
Bakonyjákó;Veszprém
Bakonykoppány;Veszprém
Bakonykúti;Fejér
Bakonynána;Veszprém
Bakonyoszlop;Veszprém
Bakonypéterd;Győr-Moson-Sopron
Bakonypölöske;Veszprém
Bakonyság;Veszprém
Bakonysárkány;Komárom-Esztergom
Bakonyszentiván;Veszprém
Bakonyszentkirály;Veszprém
Bakonyszentlászló;Veszprém
Bakonyszentlászló Újtelep;Veszprém
Bakonyszombathely;Komárom-Esztergom
Bakonyszücs;Veszprém
Bakonytamási;Veszprém
Bakópuszta;Nógrád
Baks;Csongrád
Baksa;Baranya
Baksaháza;Nógrád
Baksaszer (Őriszentpéter);Vas
Bakta (Szekszárd);Tolna
Baktakék;Borsod-Abaúj-Zemplén
Baktalórántháza;Szabolcs-Szatmár-Bereg
Baktó (Szeged);Csongrád
Baktüttös;Zala
Balabánsziget (Ráckeve);Pest
Balajt;Borsod-Abaúj-Zemplén
Balassagyarmat;Nógrád
Balástya;Csongrád
Balaton;Heves
Balatonakali;Veszprém
Balatonaliga;Veszprém
Balatonalmádi;Veszprém
Balatonberény;Somogy
Balatonboglár;Somogy
Balatonbozsok (Enying);Fejér
Balatoncsicsó;Veszprém
Balatonederics;Veszprém
Balatonendréd;Somogy
Balatonfenyves;Somogy
Balatonfőkajár;Veszprém
Balatonföldvár;Somogy
Balatonfüred;Veszprém
Balatonfűzfő;Veszprém
Balatongyörök;Zala
Balatonhenye;Veszprém
Balatonkenese;Veszprém
Balatonkenese-Üdülőtep;Veszprém
Balatonkeresztúr;Somogy
Balatonkiliti (Siófok);Somogy
Balatonlelle;Somogy
Balatonmagyaród;Zala
Balatonmáriafürdő;Somogy
Balatonőszöd;Somogy
Balatonrendes;Veszprém
Balatonszabadi;Somogy
Balatonszárszó;Somogy
Balatonszemes;Somogy
Balatonszentgyörgy;Somogy
Balatonszepezd;Veszprém
Balatonszéplak (Siófok);Somogy
Balatonszőlős;Veszprém
Balatonudvari;Veszprém
Balatonújlak;Somogy
Balatonvilágos;Veszprém
Balázs (Szabadszállás);Bács-Kiskun
Balf;Győr-Moson-Sopron
Bálics (Pécs);Baranya
Balinka;Fejér
Bálintbokor (Nyíregyháza);Szabolcs-Szatmár-Bereg
Balkány;Szabolcs-Szatmár-Bereg
Ballatelep (Törökszentmiklós);Jász-Nagykun-Szolnok
Ballószög;Bács-Kiskun
Balmazújváros;Hajdú-Bihar
Balogunyom;Vas
Balotaszállás;Bács-Kiskun
Balozsameggyes (Meggyeskovácsi);Vas
Balsa;Szabolcs-Szatmár-Bereg
Bálványos;Somogy
Bana;Komárom-Esztergom
Bancsitelep (Vámospércs);Hajdú-Bihar
Bánd;Veszprém
Bánfa;Baranya
Bánfalva (Bánhorváti);Borsod-Abaúj-Zemplén
Bánfibokor;Szabolcs-Szatmár-Bereg
Bánhalma (Kenderes);Jász-Nagykun-Szolnok
Bánháza;Hajdú-Bihar
Bánházatanyák;Hajdú-Bihar
Bánhida (Tatabánya);Komárom-Esztergom
Bánhorváti;Borsod-Abaúj-Zemplén
Bánk;Nógrád
Bánk (Debrecen);Hajdú-Bihar
Bankfalu (Kiskunfélegyháza);Bács-Kiskun
Bankháza (Kiskunlacháza);Pest
Bánkút (Medgyesegyháza);Békés
Bánokszentgyörgy;Zala
Bánomszőlő (Cibakháza);Jász-Nagykun-Szolnok
Bánomvára (Kótaj);Szabolcs-Szatmár-Bereg
Bános;Baranya
Bánréve;Borsod-Abaúj-Zemplén
Bánszállás;Borsod-Abaúj-Zemplén
Bánya;Somogy
Bányatelep (Nagymányok);Tolna
